Business Name,Address,Phone Number,Primary Contact,BBB Accreditation Status,Profile URL
Billing Dynamix,"2857 Executive Dr STE 200
Clearwater, FL 33762-5584",(727) 386-9497,Mr. Thomas Jorno,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/clearwater/profile/medical-billing/billing-dynamix-0653-90344528
Enfinity Medical Billing,"197 Route 18, East Brunswick, NJ 08816-1440",(732) 944-0080,"Shakeel Ahmad, Principal",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/east-brunswick/profile/medical-billing/enfinity-medical-billing-0221-90234777
PDXPERT Medical Billing,"Portland, OR 97220-2709",(503) 860-8913,Ms. Cortney Rouse,NOT a BBB Accredited Business,https://www.bbb.org/us/or/portland/profile/medical-billing/pdxpert-medical-billing-1296-1000096262
Armedix Medical Billing,"3705 W Memorial Rd Ste 1304, Oklahoma City, OK 73134-1503",(405) 418-4506,"Mr. Randall Murray, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ok/oklahoma-city/profile/medical-billing/armedix-medical-billing-0995-90074308
Element Medical Billing,"2000 SE Port St Lucie Blvd Suite B, Port Saint Lucie, FL 34952",Not Available,"Jared Turner, Owner/Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/port-saint-lucie/profile/medical-billing/element-medical-billing-0633-92046033
Prosperity Medical Billing,"Bowling Green, KY 42103-7116",(606) 207-6318,"Mr. William B. Woodward, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ky/bowling-green/profile/medical-billing/prosperity-medical-billing-0402-159166505
Schmidt Medical Billing,"200 Mcknight Park Dr # 201, Pittsburgh, PA 15237",(888) 894-8880,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/pa/pittsburgh/profile/medical-billing/schmidt-medical-billing-0141-71049184
Stolze Medical Billing,"11736 Dellwood Rd, Victorville, CA 92392-1291",(909) 576-0111,"Mrs. Alyssa A Stolze, Billing Specialist",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/victorville/profile/medical-billing/stolze-medical-billing-1126-850022321
Greensense Billing,"495 E Rincon St STE 206, Corona, CA 92879",(909) 698-8022,"Ms. Angel Salazar, Operations Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/corona/profile/medical-billing/greensense-billing-1126-850066962
SmileBound Billing,"Millville, NJ 08332-4602",(803) 200-1899,"Ms. Dawn Walker, CEO",BBB Accredited,https://www.bbb.org/us/nj/millville/profile/medical-billing/smilebound-billing-0221-90234692
Billing Solutions,"15 E Lincoln Ave, Delaware, OH 43015-1605",(740) 417-4968,"Ms. Jackie Kruse, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/delaware/profile/medical-billing/billing-solutions-0302-14008220
Operation Billing,"4500 Mercantile Plaza Dr Ste 300, Fort Worth, TX 76137-4206",(888) 723-5962,"Mr. Steve Herrera, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/fort-worth/profile/medical-billing/operation-billing-0825-235981805
Billing Matters,"570 El Camino Real STE 363, Redwood City, CA 94063-1200",(650) 245-2726,"Ms. Beth Goddard, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/redwood-city/profile/medical-billing/billing-matters-1116-538335
Talbert's Medical Billing,"109 Executive Drive, Suite C, Lake Charles, LA 70611",(337) 855-9023,"Mary Talbert, CEO",BBB Accredited,https://www.bbb.org/us/la/lake-charles/profile/medical-billing/talberts-medical-billing-0925-90006328
Medical Billing Alternatives,"5600 Monroe St Building B Ste 101, Sylvania, OH 43560-0703",(419) 824-5203,"Ms. Linda Hoffman, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/oh/sylvania/profile/billing-services/medical-billing-alternatives-0422-18000291
Midwest Medical Billing,"650 E. Devon Ave., Itasca, IL 60143-1251",(630) 875-1500,"Bob Bostrom, President",NOT a BBB Accredited,https://www.bbb.org/us/il/itasca/profile/billing-services/midwest-medical-billing-0654-88008315
Prince's Medical Billing,"391 Sawyer St., Vallejo, CA 94589",(707) 334-9724,"Ms. Loretta Lary, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/vallejo/profile/billing-services/princes-medical-billing-1116-305648
Denton Medical Billing,"2019 Malone, Denton, TX 76201",(940) 565-5846,"Ms. Robin Johnston, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/tx/denton/profile/billing-services/denton-medical-billing-0875-90013540
"Montana Medical Billing, L.L.C.","3200 Trumble Creek Rd, Columbia Fls, MT 59912-9048",(406) 227-7065,"Mrs. Morgan Williams, Owner",BBB Accredited,https://www.bbb.org/us/mt/columbia-fls/profile/medical-business-administration/montana-medical-billing-llc-1296-1000008635
Medical Billing Specialists,"Everett, WA 98201-1874",(503) 387-5436,Mr. Kevin Worden,NOT a BBB Accredited Business,https://www.bbb.org/us/wa/everett/profile/medical-billing/medical-billing-specialists-1296-1000055840
Medical Billing Solutions,"801 E Woodcroft Pkwy Apt 724, Durham, NC 27713-8268",Not Available,"Ms. Mickey Perry, Customer Contact",NOT a BBB Accredited Business,https://www.bbb.org/us/nc/durham/profile/medical-billing/medical-billing-solutions-0593-90079402
Tammy's Medical Billing,"Seward, AK 99664",(907) 422-0488,"Ms. Tammy Foutz, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ak/seward/profile/medical-billing/tammys-medical-billing-1296-1000095075
Advantage Medical Billing,"Chico, CA 95973-5827",(530) 345-7699,"Ms. Jennifer Redeker, Owner",Advantage Medical Billing is BBB Accredited.,https://www.bbb.org/us/ca/chico/profile/medical-billing/advantage-medical-billing-1156-47020324
Maximus Medical Billing,"11006 Veirs Mill Rd PMB 261, Silver Spring, MD 20902-2582",(240) 489-6260,"Dr. Maria Jison, President",NOT a BBB Accredited Business,https://www.bbb.org/us/md/silver-spring/profile/billing-services/maximus-medical-billing-0241-182900463
Stanford Medical Billing,"550 E Herndon Ave Ste 105A, Fresno, CA 93720-2992",(559) 438-1245,"Bette Stanford, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/fresno/profile/billing-services/stanford-medical-billing-1126-59004124
Medical Billing Alternatives,"136 S Cannon Ave, Murfreesboro, TN 37129-3506",(615) 329-8226,"Carla Anderson, CEO/Owner",NOT a BBB Accredited,https://www.bbb.org/us/tn/murfreesboro/profile/billing-services/medical-billing-alternatives-0573-37062480
Outsource Medical Billing,"207 Stillmeadow Dr, Joppa, MD 21085-4750",Not Available,"Sharon Burge, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/md/joppa/profile/billing-services/outsource-medical-billing-0011-90190447
Park Medical Billing,"106 Grand Ave Ste 210, Englewood, NJ 07631-3565",(201) 585-7306,"Mr. Chol Park, CEO/Founder",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/englewood/profile/medical-billing/park-medical-billing-0221-90169074
Nexus Medical Billing,"PO Box 15109, Springfield, MA 01115",(877) 272-2900,Mr. Christine,NOT a BBB Accredited Business,https://www.bbb.org/us/ma/springfield/profile/medical-billing/nexus-medical-billing-0261-289023
Human Medical Billing,"2674 E Main St Ste E306, Ventura, CA 93003-2820",(877) 669-1070,"Mr. Ramesh Jayakuma, Owner",BBB Accredited,https://www.bbb.org/us/ca/ventura/profile/medical-billing/human-medical-billing-1236-92088165
Lees Medical Billing,"Milton, FL 32571-2696",(229) 234-0062,"Ms. Katy Saders, Office Supervisor",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/milton/profile/medical-billing/lees-medical-billing-0683-90078578
Ultimate Medical Billing,"17370 Avion Sq, Round Hill, VA 20141-2492",(540) 751-9146,"Ms. Rhonda Jeffery, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/va/round-hill/profile/billing-services/ultimate-medical-billing-0241-124457597
Hart Medical Billing,"PO Box 2447, Mckinleyville, CA 95519-2447",(707) 839-3013,"Ms. Harriette Hart, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/mckinleyville/profile/billing-services/hart-medical-billing-1116-195300
"Seaside Medical Billing, Inc.","PO Box 2460
Teaticket, MA 02536-2460",(508) 548-3699,"Ms. Charlene Soares, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ma/teaticket/profile/medical-billing/seaside-medical-billing-inc-0021-112487
Telfonix Medical Billing,"890 Hillcrest Drive, Nokomis, FL 34275",(941) 483-6633,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/nokomis/profile/medical-consultants/telfonix-medical-billing-0403-8002369
Digital Med Billing Solutions LLC,"1322 N Pine Hills Rd, Orlando, FL 32808-4832",(407) 377-5484,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/orlando/profile/medical-billing/digital-med-billing-solutions-llc-0733-235968973
Billing Paradise,"732 N Diamond Bar Blvd STE 110, Diamond Bar, CA 91765-1043",(888) 571-9069,"Venkat Aravamudhan, CFO",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/diamond-bar/profile/medical-billing/billing-paradise-1216-260860
ePsych Billing,"2300 W Sahara Ave Ste 800, Las Vegas, NV 89102-4397",(323) 374-5479,"Mr. Alexander Zaki, President",NOT a BBB Accredited Business,https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/epsych-billing-1086-90093585
Ultimate Billing,"1600 Division Rd Ste 2000, West Warwick, RI 02893-7574",(469) 744-5853,"Ms. Marina Adelman, Founder",NOT a BBB Accredited Business,https://www.bbb.org/us/ri/west-warwick/profile/medical-billing/ultimate-billing-0021-543902
Billing Depot,"415 Dutch Neck Rd, East Windsor, NJ 08520-1201",(609) 371-8920,"Ms. Patricia Freeze, President",NOT a BBB Accredited Business,https://www.bbb.org/us/nj/east-windsor/profile/medical-billing/billing-depot-0221-90108714
Allstars Medical Billing,"2121 N California Blvd Ste 243, Walnut Creek, CA 94596-3572",(501) 424-0123,"Mr. Muhammad ""Imran"" Siddique, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/walnut-creek/profile/medical-billing/allstars-medical-billing-0935-90386244
Revu Billing,"175 S Bloomingdale Rd, Bloomingdale, IL 60108",(888) 999-9744,Business Manager,NOT a BBB Accredited Business,https://www.bbb.org/us/il/bloomingdale/profile/accountant/revu-billing-0654-1000108584
Atticus Medical Billing,"5776 Lindero Canyon Road Suite D-451, Thousand Oaks, CA 91362",(800) 960-4662,"Customer Service, Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/thousand-oaks/profile/medical-billing/atticus-medical-billing-1236-92021487
Nexus Medical Billing,"150 Pinellas Bayway S, Tierra Verde, FL 33715-1708",(877) 842-5246,"Ms. Lauren K Hardison, President",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/tierra-verde/profile/medical-billing/nexus-medical-billing-0653-90395209
Accelerated Medical Billing,"1209 1st St NE, Saint Petersburg, FL 33701-1811",(813) 817-5602,Not Available,NOT a BBB Accredited Business,https://www.bbb.org/us/fl/saint-petersburg/profile/medical-billing/accelerated-medical-billing-0653-90399628/addressId/255877
Medical Billing Solutions,"3924 N Torrey Pines Dr, Las Vegas, NV 89108-5900",(725) 241-7862,"Ms. Melissa Mateo, Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/medical-billing-solutions-1086-90090950
Savant Medical Billing,"6119 NE 103rd Ct, Vancouver, WA 98662",(360) 567-7154,"Ms. Susanne Noga, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/wa/vancouver/profile/medical-billing/savant-medical-billing-1296-1000087929/addressId/826424
Camelot Medical Billing,"417 Nickman St, Chula Vista, CA 91911",(619) 942-9128,"Mrs. Wendy R Caudle, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/chula-vista/profile/medical-billing/camelot-medical-billing-1126-172007228
Docs Medical Billing,"630 Landview Ct, Las Vegas, NV 89123-0197",(702) 260-4106,Ms. Diana Gonzales,NOT a BBB Accredited Business,https://www.bbb.org/us/nv/las-vegas/profile/medical-billing/docs-medical-billing-1086-90045502
Reliance Medical Billing,"3741 S Peoria Ave, Tulsa, OK 74105-3264",(918) 701-2388,"Lynn Webb, Branch Manager",NOT a BBB Accredited Business,https://www.bbb.org/us/ok/tulsa/profile/medical-billing/reliance-medical-billing-1025-38064846
Specialty Medical Billing,"614 Cahoon Rd N, Jacksonville, FL 32220",(904) 410-7938,"Ms. Judy Ullo, Owner",NOT a BBB Accredited Business,https://www.bbb.org/us/fl/jacksonville/profile/medical-billing/specialty-medical-billing-0403-235960875
Endless Billing,"6167 Reseda blvd, tarzana, CA 91335",(877) 927-1619,"Wendely Moodie-Naranjo, Executive",NOT a BBB Accredited Business,https://www.bbb.org/us/ca/tarzana/profile/medical-billing/endless-billing-1216-1000009205
